h3,population,Intensity,population_class,colors
8839814d01fffff,159.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
88398355c3fffff,228.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835533fffff,94.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814ce7fffff,4.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814ce3fffff,1.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814cddfffff,1125.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839835515fffff,29.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835405fffff,2.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814cdbfffff,300.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814cd9fffff,4064.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839835339fffff,71.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839835317fffff,108.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
88398352e9fffff,202.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
883983522bfffff,36.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
8839814cd7fffff,546.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839814cd5fffff,3560.0,VI (Strong),1000 - 5000,"(0.7055824682814302, 0.7104113802383698, 0.7378931180315264, 1.0)"
8839814cd3fffff,147.0,VI (Strong),0 - 1000,"(0.7113725490196079, 0.8224298346789696, 0.8905344098423683, 1.0)"
8839835229fffff,35.0,V (Moderate),0 - 1000,"(0.8113417916186083, 0.8771241830065359, 0.9123029603998463, 1.0)"
